x	qy	smooth	tpara	cd	zL	xTr	xCpl	frame	tma
-3.239	0.6061	603.61	13	66	46	1004000	1314000	240	9.8
-3.223	0.9502	568.23	13	66	46	1004000	1314000	240	9.8
-3.206	0.5125	534.41	13	66	46	1004000	1314000	240	9.8
-3.19	0.4129	502.1	13	66	46	1004000	1314000	240	9.8
-3.174	0.3389	471.24	13	66	46	1004000	1314000	240	9.8
-3.158	0.3826	441.8	13	66	46	1004000	1314000	240	9.8
-3.142	0.303	413.73	13	66	46	1004000	1314000	240	9.8
-3.126	0.3516	387.02	13	66	46	1004000	1314000	240	9.8
-3.11	0.3184	361.64	13	66	46	1004000	1314000	240	9.8
-3.094	0.3002	337.57	13	66	46	1004000	1314000	240	9.8
-3.077	0.2784	314.81	13	66	46	1004000	1314000	240	9.8
-3.061	0.2694	293.35	13	66	46	1004000	1314000	240	9.8
-3.045	0.2528	273.21	13	66	46	1004000	1314000	240	9.8
-3.029	0.2438	254.4	13	66	46	1004000	1314000	240	9.8
-3.013	0.2391	236.95	13	66	46	1004000	1314000	240	9.8
-2.997	0.2252	220.9	13	66	46	1004000	1314000	240	9.8
-2.981	0.2212	206.31	13	66	46	1004000	1314000	240	9.8
-2.965	0.2148	193.24	13	66	46	1004000	1314000	240	9.8
-2.948	0.203	181.76	13	66	46	1004000	1314000	240	9.8
-2.932	0.1941	171.97	13	66	46	1004000	1314000	240	9.8
-2.916	0.1813	163.91	13	66	46	1004000	1314000	240	9.8
-2.9	0.1687	157.48	13	66	46	1004000	1314000	240	9.8
-2.884	0.1583	152.02	13	66	46	1004000	1314000	240	9.8
-2.868	0.1481	145.68	13	66	46	1004000	1314000	240	9.8
-2.852	0.1356	137.39	13	66	46	1004000	1314000	240	9.8
-2.835	0.1261	129.32	13	66	46	1004000	1314000	240	9.8
-2.819	0.1188	121.73	13	66	46	1004000	1314000	240	9.8
-2.803	0.109	114.7	13	66	46	1004000	1314000	240	9.8
-2.787	0.1016	108.25	13	66	46	1004000	1314000	240	9.8
-2.771	0.0972	102.42	13	66	46	1004000	1314000	240	9.8
-2.755	0.0914	97.21	13	66	46	1004000	1314000	240	9.8
-2.739	0.0887	92.67	13	66	46	1004000	1314000	240	9.8
-2.723	0.084	88.84	13	66	46	1004000	1314000	240	9.8
-2.706	0.0826	85.73	13	66	46	1004000	1314000	240	9.8
-2.69	0.0793	83.35	13	66	46	1004000	1314000	240	9.8
-2.674	0.0804	81.66	13	66	46	1004000	1314000	240	9.8
-2.658	0.0803	80.62	13	66	46	1004000	1314000	240	9.8
-2.642	0.0806	80.17	13	66	46	1004000	1314000	240	9.8
-2.626	0.0816	80.24	13	66	46	1004000	1314000	240	9.8
-2.61	0.0818	80.74	13	66	46	1004000	1314000	240	9.8
-2.594	0.0837	81.61	13	66	46	1004000	1314000	240	9.8
-2.577	0.0847	82.75	13	66	46	1004000	1314000	240	9.8
-2.561	0.0863	84.12	13	66	46	1004000	1314000	240	9.8
-2.545	0.088	85.64	13	66	46	1004000	1314000	240	9.8
-2.529	0.0888	87.26	13	66	46	1004000	1314000	240	9.8
-2.513	0.0912	88.93	13	66	46	1004000	1314000	240	9.8
-2.497	0.0902	90.6	13	66	46	1004000	1314000	240	9.8
-2.481	0.0916	92.25	13	66	46	1004000	1314000	240	9.8
-2.465	0.0931	93.83	13	66	46	1004000	1314000	240	9.8
-2.448	0.0937	95.33	13	66	46	1004000	1314000	240	9.8
-2.432	0.0989	96.72	13	66	46	1004000	1314000	240	9.8
-2.416	0.0995	97.98	13	66	46	1004000	1314000	240	9.8
-2.4	0.101	99.11	13	66	46	1004000	1314000	240	9.8
-2.384	0.1022	100.1	13	66	46	1004000	1314000	240	9.8
-2.368	0.1002	100.94	13	66	46	1004000	1314000	240	9.8
-2.352	0.104	101.64	13	66	46	1004000	1314000	240	9.8
-2.335	0.1037	102.19	13	66	46	1004000	1314000	240	9.8
-2.319	0.1031	102.61	13	66	46	1004000	1314000	240	9.8
-2.303	0.1047	102.89	13	66	46	1004000	1314000	240	9.8
-2.287	0.1029	103.05	13	66	46	1004000	1314000	240	9.8
-2.271	0.1031	103.07	13	66	46	1004000	1314000	240	9.8
-2.255	0.1044	102.97	13	66	46	1004000	1314000	240	9.8
-2.239	0.1014	102.76	13	66	46	1004000	1314000	240	9.8
-2.223	0.105	102.44	13	66	46	1004000	1314000	240	9.8
-2.206	0.1002	102.03	13	66	46	1004000	1314000	240	9.8
-2.19	0.1031	101.55	13	66	46	1004000	1314000	240	9.8
-2.174	0.1003	101.01	13	66	46	1004000	1314000	240	9.8
-2.158	0.099	100.43	13	66	46	1004000	1314000	240	9.8
-2.142	0.0984	99.84	13	66	46	1004000	1314000	240	9.8
-2.126	0.0984	99.25	13	66	46	1004000	1314000	240	9.8
-2.11	0.0976	98.67	13	66	46	1004000	1314000	240	9.8
-2.094	0.0989	98.12	13	66	46	1004000	1314000	240	9.8
-2.077	0.0977	97.59	13	66	46	1004000	1314000	240	9.8
-2.061	0.0967	97.08	13	66	46	1004000	1314000	240	9.8
-2.045	0.0951	96.6	13	66	46	1004000	1314000	240	9.8
-2.029	0.0975	96.14	13	66	46	1004000	1314000	240	9.8
-2.013	0.0967	95.71	13	66	46	1004000	1314000	240	9.8
-1.997	0.0927	95.29	13	66	46	1004000	1314000	240	9.8
-1.981	0.094	94.88	13	66	46	1004000	1314000	240	9.8
-1.965	0.0931	94.48	13	66	46	1004000	1314000	240	9.8
-1.948	0.0947	94.08	13	66	46	1004000	1314000	240	9.8
-1.932	0.0939	93.67	13	66	46	1004000	1314000	240	9.8
-1.916	0.0951	93.24	13	66	46	1004000	1314000	240	9.8
-1.9	0.0927	92.8	13	66	46	1004000	1314000	240	9.8
-1.884	0.0926	92.35	13	66	46	1004000	1314000	240	9.8
-1.868	0.0927	91.88	13	66	46	1004000	1314000	240	9.8
-1.852	0.0922	91.39	13	66	46	1004000	1314000	240	9.8
-1.835	0.0918	90.9	13	66	46	1004000	1314000	240	9.8
-1.819	0.0915	90.4	13	66	46	1004000	1314000	240	9.8
-1.803	0.0894	89.89	13	66	46	1004000	1314000	240	9.8
-1.787	0.0882	89.38	13	66	46	1004000	1314000	240	9.8
-1.771	0.0896	88.87	13	66	46	1004000	1314000	240	9.8
-1.755	0.0885	88.36	13	66	46	1004000	1314000	240	9.8
-1.739	0.087	87.86	13	66	46	1004000	1314000	240	9.8
-1.723	0.087	87.35	13	66	46	1004000	1314000	240	9.8
-1.706	0.0865	86.86	13	66	46	1004000	1314000	240	9.8
-1.69	0.0855	86.39	13	66	46	1004000	1314000	240	9.8
-1.674	0.0854	85.93	13	66	46	1004000	1314000	240	9.8
-1.658	0.0844	85.5	13	66	46	1004000	1314000	240	9.8
-1.642	0.0858	85.1	13	66	46	1004000	1314000	240	9.8
-1.626	0.0845	84.73	13	66	46	1004000	1314000	240	9.8
-1.61	0.0842	84.39	13	66	46	1004000	1314000	240	9.8
-1.594	0.0839	84.07	13	66	46	1004000	1314000	240	9.8
-1.577	0.0864	83.77	13	66	46	1004000	1314000	240	9.8
-1.561	0.0829	83.49	13	66	46	1004000	1314000	240	9.8
-1.545	0.0825	83.22	13	66	46	1004000	1314000	240	9.8
-1.529	0.0826	82.97	13	66	46	1004000	1314000	240	9.8
-1.513	0.0834	82.72	13	66	46	1004000	1314000	240	9.8
-1.497	0.0815	82.47	13	66	46	1004000	1314000	240	9.8
-1.481	0.0827	82.23	13	66	46	1004000	1314000	240	9.8
-1.465	0.0826	81.99	13	66	46	1004000	1314000	240	9.8
-1.448	0.0818	81.76	13	66	46	1004000	1314000	240	9.8
-1.432	0.0819	81.52	13	66	46	1004000	1314000	240	9.8
-1.416	0.081	81.27	13	66	46	1004000	1314000	240	9.8
-1.4	0.081	81.03	13	66	46	1004000	1314000	240	9.8
-1.384	0.0809	80.78	13	66	46	1004000	1314000	240	9.8
-1.368	0.0808	80.54	13	66	46	1004000	1314000	240	9.8
-1.352	0.08	80.3	13	66	46	1004000	1314000	240	9.8
-1.335	0.0799	80.06	13	66	46	1004000	1314000	240	9.8
-1.319	0.0785	79.82	13	66	46	1004000	1314000	240	9.8
-1.303	0.0794	79.57	13	66	46	1004000	1314000	240	9.8
-1.287	0.0796	79.32	13	66	46	1004000	1314000	240	9.8
-1.271	0.0799	79.07	13	66	46	1004000	1314000	240	9.8
-1.255	0.0796	78.81	13	66	46	1004000	1314000	240	9.8
-1.239	0.0793	78.55	13	66	46	1004000	1314000	240	9.8
-1.223	0.0776	78.29	13	66	46	1004000	1314000	240	9.8
-1.206	0.0774	78.02	13	66	46	1004000	1314000	240	9.8
-1.19	0.0787	77.77	13	66	46	1004000	1314000	240	9.8
-1.174	0.0774	77.51	13	66	46	1004000	1314000	240	9.8
-1.158	0.0772	77.27	13	66	46	1004000	1314000	240	9.8
-1.142	0.0766	77.03	13	66	46	1004000	1314000	240	9.8
-1.126	0.0768	76.79	13	66	46	1004000	1314000	240	9.8
-1.11	0.0769	76.56	13	66	46	1004000	1314000	240	9.8
-1.094	0.0766	76.33	13	66	46	1004000	1314000	240	9.8
-1.077	0.0761	76.1	13	66	46	1004000	1314000	240	9.8
-1.061	0.0759	75.87	13	66	46	1004000	1314000	240	9.8
-1.045	0.0742	75.64	13	66	46	1004000	1314000	240	9.8
-1.029	0.0746	75.41	13	66	46	1004000	1314000	240	9.8
-1.013	0.0742	75.17	13	66	46	1004000	1314000	240	9.8
-0.997	0.0763	74.95	13	66	46	1004000	1314000	240	9.8
-0.981	0.0757	74.73	13	66	46	1004000	1314000	240	9.8
-0.965	0.0745	74.52	13	66	46	1004000	1314000	240	9.8
-0.948	0.0742	74.32	13	66	46	1004000	1314000	240	9.8
-0.932	0.075	74.12	13	66	46	1004000	1314000	240	9.8
-0.916	0.0733	73.93	13	66	46	1004000	1314000	240	9.8
-0.9	0.074	73.74	13	66	46	1004000	1314000	240	9.8
-0.884	0.0744	73.55	13	66	46	1004000	1314000	240	9.8
-0.868	0.0725	73.35	13	66	46	1004000	1314000	240	9.8
-0.852	0.0733	73.16	13	66	46	1004000	1314000	240	9.8
-0.835	0.0733	72.96	13	66	46	1004000	1314000	240	9.8
-0.819	0.0718	72.76	13	66	46	1004000	1314000	240	9.8
-0.803	0.0724	72.55	13	66	46	1004000	1314000	240	9.8
-0.787	0.0726	72.34	13	66	46	1004000	1314000	240	9.8
-0.771	0.0704	72.11	13	66	46	1004000	1314000	240	9.8
-0.755	0.0718	71.89	13	66	46	1004000	1314000	240	9.8
-0.739	0.0728	71.66	13	66	46	1004000	1314000	240	9.8
-0.723	0.0718	71.43	13	66	46	1004000	1314000	240	9.8
-0.706	0.0723	71.2	13	66	46	1004000	1314000	240	9.8
-0.69	0.0717	70.98	13	66	46	1004000	1314000	240	9.8
-0.674	0.0706	70.77	13	66	46	1004000	1314000	240	9.8
-0.658	0.0703	70.56	13	66	46	1004000	1314000	240	9.8
-0.642	0.0707	70.36	13	66	46	1004000	1314000	240	9.8
-0.626	0.0683	70.15	13	66	46	1004000	1314000	240	9.8
-0.61	0.0702	69.95	13	66	46	1004000	1314000	240	9.8
-0.594	0.0711	69.74	13	66	46	1004000	1314000	240	9.8
-0.577	0.0692	69.54	13	66	46	1004000	1314000	240	9.8
-0.561	0.0681	69.33	13	66	46	1004000	1314000	240	9.8
-0.545	0.0691	69.12	13	66	46	1004000	1314000	240	9.8
-0.529	0.0686	68.9	13	66	46	1004000	1314000	240	9.8
-0.513	0.0691	68.68	13	66	46	1004000	1314000	240	9.8
-0.497	0.0683	68.46	13	66	46	1004000	1314000	240	9.8
-0.481	0.0683	68.24	13	66	46	1004000	1314000	240	9.8
-0.465	0.0685	68.02	13	66	46	1004000	1314000	240	9.8
-0.448	0.0681	67.81	13	66	46	1004000	1314000	240	9.8
-0.432	0.0675	67.6	13	66	46	1004000	1314000	240	9.8
-0.416	0.0672	67.39	13	66	46	1004000	1314000	240	9.8
-0.4	0.0685	67.19	13	66	46	1004000	1314000	240	9.8
-0.384	0.0668	67	13	66	46	1004000	1314000	240	9.8
-0.368	0.0669	66.82	13	66	46	1004000	1314000	240	9.8
-0.352	0.0677	66.65	13	66	46	1004000	1314000	240	9.8
-0.335	0.0654	66.5	13	66	46	1004000	1314000	240	9.8
-0.319	0.0664	66.36	13	66	46	1004000	1314000	240	9.8
-0.304	0.0652	66.25	13	66	46	1004000	1314000	240	9.8
-0.289	0.0663	66.15	13	66	46	1004000	1314000	240	9.8
-0.275	0.0663	66.08	13	66	46	1004000	1314000	240	9.8
-0.261	0.0651	66.04	13	66	46	1004000	1314000	240	9.8
-0.248	0.0656	66.02	13	66	46	1004000	1314000	240	9.8
-0.235	0.0661	66.02	13	66	46	1004000	1314000	240	9.8
-0.223	0.0643	66.05	13	66	46	1004000	1314000	240	9.8
-0.212	0.0661	66.09	13	66	46	1004000	1314000	240	9.8
-0.2	0.066	66.14	13	66	46	1004000	1314000	240	9.8
-0.19	0.0659	66.19	13	66	46	1004000	1314000	240	9.8
-0.18	0.0672	66.23	13	66	46	1004000	1314000	240	9.8
-0.17	0.0658	66.26	13	66	46	1004000	1314000	240	9.8
-0.16	0.066	66.27	13	66	46	1004000	1314000	240	9.8
-0.151	0.067	66.27	13	66	46	1004000	1314000	240	9.8
-0.143	0.0675	66.24	13	66	46	1004000	1314000	240	9.8
-0.134	0.0676	66.18	13	66	46	1004000	1314000	240	9.8
-0.126	0.065	66.08	13	66	46	1004000	1314000	240	9.8
-0.119	0.0642	65.94	13	66	46	1004000	1314000	240	9.8
-0.111	0.0668	65.75	13	66	46	1004000	1314000	240	9.8
-0.104	0.0672	65.51	13	66	46	1004000	1314000	240	9.8
-0.097	0.0661	65.22	13	66	46	1004000	1314000	240	9.8
-0.091	0.0637	64.87	13	66	46	1004000	1314000	240	9.8
-0.085	0.0687	64.48	13	66	46	1004000	1314000	240	9.8
-0.079	0.0601	64.05	13	66	46	1004000	1314000	240	9.8
-0.073	0.0647	63.57	13	66	46	1004000	1314000	240	9.8
-0.067	0.0603	63.07	13	66	46	1004000	1314000	240	9.8
-0.062	0.0617	62.54	13	66	46	1004000	1314000	240	9.8
-0.057	0.0661	61.97	13	66	46	1004000	1314000	240	9.8
-0.052	0.0586	61.38	13	66	46	1004000	1314000	240	9.8
-0.047	0.0603	60.77	13	66	46	1004000	1314000	240	9.8
-0.043	0.0639	60.14	13	66	46	1004000	1314000	240	9.8
-0.039	0.0587	59.5	13	66	46	1004000	1314000	240	9.8
-0.034	0.059	58.85	13	66	46	1004000	1314000	240	9.8
-0.03	0.059	58.2	13	66	46	1004000	1314000	240	9.8
-0.027	0.0507	57.55	13	66	46	1004000	1314000	240	9.8
-0.023	0.0609	56.9	13	66	46	1004000	1314000	240	9.8
-0.019	0.0587	56.25	13	66	46	1004000	1314000	240	9.8
-0.016	0.0534	55.61	13	66	46	1004000	1314000	240	9.8
-0.013	0.0512	54.98	13	66	46	1004000	1314000	240	9.8
-0.01	0.0558	54.37	13	66	46	1004000	1314000	240	9.8
-0.006	0.0594	53.78	13	66	46	1004000	1314000	240	9.8
-0.003	0.0525	53.19	13	66	46	1004000	1314000	240	9.8
0	0.0505	52.62	13	66	46	1004000	1314000	240	9.8
0.003	0.0523	52.06	13	66	46	1004000	1314000	240	9.8
0.006	0.0508	51.51	13	66	46	1004000	1314000	240	9.8
0.01	0.0486	50.97	13	66	46	1004000	1314000	240	9.8
0.013	0.0484	50.46	13	66	46	1004000	1314000	240	9.8
0.016	0.0537	49.99	13	66	46	1004000	1314000	240	9.8
0.019	0.0505	49.55	13	66	46	1004000	1314000	240	9.8
0.023	0.0499	49.14	13	66	46	1004000	1314000	240	9.8
0.026	0.0476	48.77	13	66	46	1004000	1314000	240	9.8
0.029	0.0481	48.43	13	66	46	1004000	1314000	240	9.8
0.032	0.0476	48.12	13	66	46	1004000	1314000	240	9.8
0.035	0.0475	47.82	13	66	46	1004000	1314000	240	9.8
0.039	0.0449	47.55	13	66	46	1004000	1314000	240	9.8
0.042	0.0517	47.31	13	66	46	1004000	1314000	240	9.8
0.045	0.0457	47.07	13	66	46	1004000	1314000	240	9.8
0.048	0.0488	46.85	13	66	46	1004000	1314000	240	9.8
0.052	0.0431	46.62	13	66	46	1004000	1314000	240	9.8
0.055	0.0428	46.38	13	66	46	1004000	1314000	240	9.8
0.058	0.0498	46.14	13	66	46	1004000	1314000	240	9.8
0.061	0.0447	45.88	13	66	46	1004000	1314000	240	9.8
0.065	0.0429	45.62	13	66	46	1004000	1314000	240	9.8
0.068	0.0493	45.34	13	66	46	1004000	1314000	240	9.8
0.071	0.0475	45.06	13	66	46	1004000	1314000	240	9.8
0.074	0.048	44.79	13	66	46	1004000	1314000	240	9.8
0.077	0.0444	44.52	13	66	46	1004000	1314000	240	9.8
0.081	0.0452	44.26	13	66	46	1004000	1314000	240	9.8
0.084	0.0411	44	13	66	46	1004000	1314000	240	9.8
0.087	0.0405	43.73	13	66	46	1004000	1314000	240	9.8
0.09	0.0463	43.46	13	66	46	1004000	1314000	240	9.8
0.094	0.042	43.19	13	66	46	1004000	1314000	240	9.8
0.097	0.0439	42.93	13	66	46	1004000	1314000	240	9.8
0.1	0.0429	42.69	13	66	46	1004000	1314000	240	9.8
0.103	0.0413	42.47	13	66	46	1004000	1314000	240	9.8
0.106	0.0402	42.27	13	66	46	1004000	1314000	240	9.8
0.11	0.0406	42.11	13	66	46	1004000	1314000	240	9.8
0.113	0.043	41.98	13	66	46	1004000	1314000	240	9.8
0.116	0.0435	41.87	13	66	46	1004000	1314000	240	9.8
0.119	0.0413	41.8	13	66	46	1004000	1314000	240	9.8
0.123	0.0425	41.76	13	66	46	1004000	1314000	240	9.8
0.126	0.0406	41.75	13	66	46	1004000	1314000	240	9.8
0.129	0.0422	41.76	13	66	46	1004000	1314000	240	9.8
0.132	0.0414	41.77	13	66	46	1004000	1314000	240	9.8
0.135	0.0404	41.78	13	66	46	1004000	1314000	240	9.8
0.139	0.0446	41.78	13	66	46	1004000	1314000	240	9.8
0.142	0.0407	41.77	13	66	46	1004000	1314000	240	9.8
0.145	0.0407	41.73	13	66	46	1004000	1314000	240	9.8
0.148	0.0404	41.67	13	66	46	1004000	1314000	240	9.8
0.152	0.0441	41.61	13	66	46	1004000	1314000	240	9.8
0.155	0.0433	41.55	13	66	46	1004000	1314000	240	9.8
0.158	0.0434	41.49	13	66	46	1004000	1314000	240	9.8
0.161	0.0409	41.44	13	66	46	1004000	1314000	240	9.8
0.165	0.0431	41.4	13	66	46	1004000	1314000	240	9.8
0.168	0.0398	41.38	13	66	46	1004000	1314000	240	9.8
0.171	0.0408	41.38	13	66	46	1004000	1314000	240	9.8
0.174	0.0403	41.4	13	66	46	1004000	1314000	240	9.8
0.177	0.0413	41.44	13	66	46	1004000	1314000	240	9.8
0.181	0.0393	41.49	13	66	46	1004000	1314000	240	9.8
0.184	0.0427	41.55	13	66	46	1004000	1314000	240	9.8
0.187	0.0398	41.6	13	66	46	1004000	1314000	240	9.8
0.19	0.0409	41.65	13	66	46	1004000	1314000	240	9.8
0.194	0.0437	41.71	13	66	46	1004000	1314000	240	9.8
0.197	0.0393	41.78	13	66	46	1004000	1314000	240	9.8
0.2	0.0418	41.87	13	66	46	1004000	1314000	240	9.8
0.203	0.0418	41.97	13	66	46	1004000	1314000	240	9.8
0.206	0.0439	42.09	13	66	46	1004000	1314000	240	9.8
0.21	0.0426	42.24	13	66	46	1004000	1314000	240	9.8
0.213	0.0453	42.4	13	66	46	1004000	1314000	240	9.8
0.216	0.0421	42.58	13	66	46	1004000	1314000	240	9.8
0.219	0.044	42.76	13	66	46	1004000	1314000	240	9.8
0.223	0.0442	42.92	13	66	46	1004000	1314000	240	9.8
0.226	0.0419	43.07	13	66	46	1004000	1314000	240	9.8
0.229	0.0429	43.19	13	66	46	1004000	1314000	240	9.8
0.232	0.0429	43.29	13	66	46	1004000	1314000	240	9.8
0.235	0.0387	43.37	13	66	46	1004000	1314000	240	9.8
0.239	0.0455	43.43	13	66	46	1004000	1314000	240	9.8
0.242	0.0403	43.47	13	66	46	1004000	1314000	240	9.8
0.245	0.0437	43.5	13	66	46	1004000	1314000	240	9.8
0.248	0.043	43.51	13	66	46	1004000	1314000	240	9.8
0.252	0.0479	43.52	13	66	46	1004000	1314000	240	9.8
